"","Country","date","in_lockdown"
"395","Austria",2006-01-30,0
"396","Austria",2006-01-31,0
"397","Austria",2006-02-01,0
"398","Austria",2006-02-02,0
"399","Austria",2006-02-03,0
"400","Austria",2006-02-04,0
"401","Austria",2006-02-05,0
"402","Austria",2006-02-06,0
"403","Austria",2006-02-07,0
"404","Austria",2006-02-08,0
"405","Austria",2006-02-09,0
"406","Austria",2006-02-10,0
"407","Austria",2006-02-11,0
"408","Austria",2006-02-12,0
"409","Austria",2006-02-13,0
"410","Austria",2006-02-14,0
"411","Austria",2006-02-15,0
"412","Austria",2006-02-16,0
"413","Austria",2006-02-17,0
"414","Austria",2006-02-18,0
"415","Austria",2006-02-19,0
"416","Austria",2006-02-20,0
"417","Austria",2006-02-21,0
"418","Austria",2006-02-22,0
"419","Austria",2006-02-23,0
"420","Austria",2006-02-24,0
"421","Austria",2006-02-25,0
"422","Austria",2006-02-26,0
"423","Austria",2006-02-27,0
"424","Austria",2006-02-28,0
"425","Austria",2006-03-01,0
"426","Austria",2006-03-02,0
"427","Austria",2006-03-03,0
"428","Austria",2006-03-04,0
"429","Austria",2006-03-05,0
"430","Austria",2006-03-06,0
"431","Austria",2006-03-07,0
"432","Austria",2006-03-08,0
"433","Austria",2006-03-09,0
"434","Austria",2006-03-10,0
"435","Austria",2006-03-11,0
"436","Austria",2006-03-12,0
"437","Austria",2006-03-13,0
"438","Austria",2006-03-14,0
"439","Austria",2006-03-15,0
"440","Austria",2006-03-16,0
"441","Austria",2006-03-17,0
"442","Austria",2006-03-18,0
"443","Austria",2006-03-19,0
"444","Austria",2006-03-20,0
"445","Austria",2006-03-21,0
"446","Austria",2006-03-22,0
"447","Austria",2006-03-23,0
"448","Austria",2006-03-24,0
"449","Austria",2006-03-25,0
"450","Austria",2006-03-26,0
"451","Austria",2006-03-27,0
"452","Austria",2006-03-28,0
"453","Austria",2006-03-29,0
"454","Austria",2006-03-30,0
"455","Austria",2006-03-31,0
"456","Austria",2006-04-01,0
"457","Austria",2006-04-02,0
"458","Austria",2006-04-03,0
"459","Austria",2006-04-04,0
"460","Austria",2006-04-05,0
"461","Austria",2006-04-06,0
"462","Austria",2006-04-07,0
"463","Austria",2006-04-08,0
"464","Austria",2006-04-09,0
"465","Austria",2006-04-10,0
"466","Austria",2006-04-11,0
"467","Austria",2006-04-12,0
"468","Austria",2006-04-13,0
"469","Austria",2006-04-14,0
"470","Austria",2006-04-15,0
"471","Austria",2006-04-16,0
"472","Austria",2006-04-17,0
"473","Austria",2006-04-18,0
"474","Austria",2006-04-19,0
"475","Austria",2006-04-20,0
"476","Austria",2006-04-21,0
"477","Austria",2006-04-22,0
"478","Austria",2006-04-23,0
"479","Austria",2006-04-24,0
"480","Austria",2006-04-25,0
"481","Austria",2006-04-26,0
"482","Austria",2006-04-27,0
"483","Austria",2006-04-28,0
"484","Austria",2006-04-29,0
"485","Austria",2006-04-30,0
"486","Austria",2006-05-01,0
"487","Austria",2006-05-02,0
"488","Austria",2006-05-03,0
"489","Austria",2006-05-04,0
"490","Austria",2006-05-05,0
"491","Austria",2006-05-06,0
"492","Austria",2006-05-07,0
"493","Austria",2006-05-08,0
"494","Austria",2006-05-09,0
"495","Austria",2006-05-10,0
"496","Austria",2006-05-11,0
"497","Austria",2006-05-12,0
"498","Austria",2006-05-13,0
"499","Austria",2006-05-14,0
"500","Austria",2006-05-15,0
"501","Austria",2006-05-16,0
"502","Austria",2006-05-17,0
"503","Austria",2006-05-18,0
"504","Austria",2006-05-19,0
"505","Austria",2006-05-20,0
"506","Austria",2006-05-21,0
"507","Austria",2006-05-22,0
"508","Austria",2006-05-23,0
"509","Austria",2006-05-24,0
"510","Austria",2006-05-25,0
"511","Austria",2006-05-26,0
"512","Austria",2006-05-27,0
"513","Austria",2006-05-28,0
"514","Austria",2006-05-29,0
"515","Austria",2006-05-30,0
"516","Austria",2006-05-31,0
"517","Austria",2006-06-01,0
"518","Austria",2006-06-02,0
"519","Austria",2006-06-03,0
"520","Austria",2006-06-04,0
"521","Austria",2006-06-05,0
"522","Austria",2006-06-06,0
"523","Austria",2006-06-07,0
"524","Austria",2006-06-08,0
"525","Austria",2006-06-09,0
"526","Austria",2006-06-10,0
"527","Austria",2006-06-11,0
"528","Austria",2006-06-12,0
"529","Austria",2006-06-13,0
"530","Austria",2006-06-14,0
"531","Austria",2006-06-15,0
"532","Austria",2006-06-16,0
"533","Austria",2006-06-17,0
"534","Austria",2006-06-18,0
"535","Austria",2006-06-19,0
"536","Austria",2006-06-20,0
"537","Austria",2006-06-21,0
"538","Austria",2006-06-22,0
"539","Austria",2006-06-23,0
"540","Austria",2006-06-24,0
"541","Austria",2006-06-25,0
"542","Austria",2006-06-26,0
"543","Austria",2006-06-27,0
"544","Austria",2006-06-28,0
"545","Austria",2006-06-29,0
"546","Austria",2006-06-30,0
"547","Austria",2006-07-01,0
"548","Austria",2006-07-02,0
"549","Austria",2006-07-03,0
"550","Austria",2006-07-04,0
"551","Austria",2006-07-05,0
"552","Austria",2006-07-06,0
"553","Austria",2006-07-07,0
"554","Austria",2006-07-08,0
"555","Austria",2006-07-09,0
"556","Austria",2006-07-10,0
"557","Austria",2006-07-11,0
"558","Austria",2006-07-12,0
"559","Austria",2006-07-13,0
"560","Austria",2006-07-14,0
"561","Austria",2006-07-15,0
"562","Austria",2006-07-16,0
"563","Austria",2006-07-17,0
"564","Austria",2006-07-18,0
"565","Austria",2006-07-19,0
"566","Austria",2006-07-20,0
"567","Austria",2006-07-21,0
"568","Austria",2006-07-22,0
"569","Austria",2006-07-23,0
"570","Austria",2006-07-24,0
"571","Austria",2006-07-25,0
"572","Austria",2006-07-26,0
"573","Austria",2006-07-27,0
"574","Austria",2006-07-28,0
"575","Austria",2006-07-29,0
"576","Austria",2006-07-30,0
"577","Austria",2006-07-31,0
"578","Austria",2006-08-01,0
"579","Austria",2006-08-02,0
"580","Austria",2006-08-03,0
"581","Austria",2006-08-04,0
"582","Austria",2006-08-05,0
"583","Austria",2006-08-06,0
"584","Austria",2006-08-07,0
"585","Austria",2006-08-08,0
"586","Austria",2006-08-09,0
"587","Austria",2006-08-10,0
"588","Austria",2006-08-11,0
"589","Austria",2006-08-12,0
"590","Austria",2006-08-13,0
"591","Austria",2006-08-14,0
"592","Austria",2006-08-15,0
"593","Austria",2006-08-16,0
"594","Austria",2006-08-17,0
"595","Austria",2006-08-18,0
"596","Austria",2006-08-19,0
"597","Austria",2006-08-20,0
"598","Austria",2006-08-21,0
"599","Austria",2006-08-22,0
"600","Austria",2006-08-23,0
"601","Austria",2006-08-24,0
"602","Austria",2006-08-25,0
"603","Austria",2006-08-26,0
"604","Austria",2006-08-27,0
"605","Austria",2006-08-28,0
"606","Austria",2006-08-29,0
"607","Austria",2006-08-30,0
"608","Austria",2006-08-31,0
"609","Austria",2006-09-01,0
"610","Austria",2006-09-02,0
"611","Austria",2006-09-03,0
"612","Austria",2006-09-04,0
"613","Austria",2006-09-05,0
"614","Austria",2006-09-06,0
"615","Austria",2006-09-07,0
"616","Austria",2006-09-08,0
"617","Austria",2006-09-09,0
"618","Austria",2006-09-10,0
"619","Austria",2006-09-11,0
"620","Austria",2006-09-12,0
"621","Austria",2006-09-13,0
"622","Austria",2006-09-14,0
"623","Austria",2006-09-15,0
"624","Austria",2006-09-16,0
"625","Austria",2006-09-17,0
"626","Austria",2006-09-18,0
"627","Austria",2006-09-19,0
"628","Austria",2006-09-20,0
"629","Austria",2006-09-21,0
"630","Austria",2006-09-22,0
"631","Austria",2006-09-23,0
"632","Austria",2006-09-24,0
"633","Austria",2006-09-25,0
"634","Austria",2006-09-26,0
"635","Austria",2006-09-27,0
"636","Austria",2006-09-28,0
"637","Austria",2006-09-29,0
"638","Austria",2006-09-30,0
"639","Austria",2006-10-01,0
"640","Austria",2006-10-02,0
"641","Austria",2006-10-03,0
"642","Austria",2006-10-04,0
"643","Austria",2006-10-05,0
"644","Austria",2006-10-06,0
"645","Austria",2006-10-07,0
"646","Austria",2006-10-08,0
"647","Austria",2006-10-09,0
"648","Austria",2006-10-10,0
"649","Austria",2006-10-11,0
"650","Austria",2006-10-12,0
"651","Austria",2006-10-13,0
"652","Austria",2006-10-14,0
"653","Austria",2006-10-15,0
"654","Austria",2006-10-16,0
"655","Austria",2006-10-17,0
"656","Austria",2006-10-18,0
"657","Austria",2006-10-19,0
"658","Austria",2006-10-20,0
"659","Austria",2006-10-21,0
"660","Austria",2006-10-22,0
"661","Austria",2006-10-23,0
"662","Austria",2006-10-24,0
"663","Austria",2006-10-25,0
"664","Austria",2006-10-26,0
"665","Austria",2006-10-27,0
"666","Austria",2006-10-28,0
"667","Austria",2006-10-29,0
"668","Austria",2006-10-30,0
"669","Austria",2006-10-31,0
"670","Austria",2006-11-01,0
"671","Austria",2006-11-02,0
"672","Austria",2006-11-03,0
"673","Austria",2006-11-04,0
"674","Austria",2006-11-05,0
"675","Austria",2006-11-06,0
"676","Austria",2006-11-07,0
"677","Austria",2006-11-08,0
"678","Austria",2006-11-09,0
"679","Austria",2006-11-10,0
"680","Austria",2006-11-11,0
"681","Austria",2006-11-12,0
"682","Austria",2006-11-13,0
"683","Austria",2006-11-14,0
"684","Austria",2006-11-15,0
"685","Austria",2006-11-16,0
"686","Austria",2006-11-17,0
"687","Austria",2006-11-18,0
"688","Austria",2006-11-19,0
"689","Austria",2006-11-20,0
"690","Austria",2006-11-21,0
"691","Austria",2006-11-22,0
"692","Austria",2006-11-23,0
"693","Austria",2006-11-24,0
"694","Austria",2006-11-25,0
"695","Austria",2006-11-26,0
"696","Austria",2006-11-27,0
"697","Austria",2006-11-28,0
"698","Austria",2006-11-29,0
"699","Austria",2006-11-30,0
"700","Austria",2006-12-01,0
"701","Austria",2006-12-02,0
"702","Austria",2006-12-03,0
"703","Austria",2006-12-04,0
"704","Austria",2006-12-05,0
"705","Austria",2006-12-06,0
"706","Austria",2006-12-07,0
"707","Austria",2006-12-08,0
"708","Austria",2006-12-09,0
"709","Austria",2006-12-10,0
"710","Austria",2006-12-11,0
"711","Austria",2006-12-12,0
"712","Austria",2006-12-13,0
"713","Austria",2006-12-14,0
"714","Austria",2006-12-15,0
"715","Austria",2006-12-16,0
"716","Austria",2006-12-17,0
"717","Austria",2006-12-18,0
"718","Austria",2006-12-19,0
"719","Austria",2006-12-20,0
"720","Austria",2006-12-21,0
"721","Austria",2006-12-22,0
"722","Austria",2006-12-23,0
"723","Austria",2006-12-24,0
"724","Austria",2006-12-25,0
"725","Austria",2006-12-26,0
"726","Austria",2006-12-27,0
"727","Austria",2006-12-28,0
"728","Austria",2006-12-29,0
"729","Austria",2006-12-30,0
"730","Austria",2006-12-31,0
"731","Austria",2007-01-01,0
"732","Austria",2007-01-02,0
"733","Austria",2007-01-03,0
"734","Austria",2007-01-04,0
"735","Austria",2007-01-05,0
"736","Austria",2007-01-06,0
"737","Austria",2007-01-07,0
"738","Austria",2007-01-08,0
"739","Austria",2007-01-09,0
"740","Austria",2007-01-10,0
"741","Austria",2007-01-11,0
"742","Austria",2007-01-12,0
"743","Austria",2007-01-13,0
"744","Austria",2007-01-14,0
"745","Austria",2007-01-15,0
"746","Austria",2007-01-16,0
"747","Austria",2007-01-17,0
"748","Austria",2007-01-18,0
"749","Austria",2007-01-19,0
"750","Austria",2007-01-20,0
"751","Austria",2007-01-21,0
"752","Austria",2007-01-22,0
"753","Austria",2007-01-23,0
"754","Austria",2007-01-24,0
"755","Austria",2007-01-25,0
"756","Austria",2007-01-26,0
"757","Austria",2007-01-27,0
"758","Austria",2007-01-28,0
"759","Austria",2007-01-29,0
"760","Austria",2007-01-30,0
"761","Austria",2007-01-31,0
"762","Austria",2007-02-01,0
"763","Austria",2007-02-02,0
"764","Austria",2007-02-03,0
"765","Austria",2007-02-04,0
"766","Austria",2007-02-05,0
"767","Austria",2007-02-06,0
"768","Austria",2007-02-07,0
"769","Austria",2007-02-08,0
"770","Austria",2007-02-09,0
"771","Austria",2007-02-10,0
"772","Austria",2007-02-11,0
"773","Austria",2007-02-12,0
"774","Austria",2007-02-13,0
"775","Austria",2007-02-14,0
"776","Austria",2007-02-15,0
"777","Austria",2007-02-16,0
"778","Austria",2007-02-17,0
"779","Austria",2007-02-18,0
"780","Austria",2007-02-19,0
"781","Austria",2007-02-20,0
"782","Austria",2007-02-21,0
"783","Austria",2007-02-22,0
"784","Austria",2007-02-23,0
"785","Austria",2007-02-24,0
"786","Austria",2007-02-25,0
"787","Austria",2007-02-26,0
"788","Austria",2007-02-27,0
"789","Austria",2007-02-28,0
"790","Austria",2007-03-01,0
"791","Austria",2007-03-02,0
"792","Austria",2007-03-03,0
"793","Austria",2007-03-04,0
"794","Austria",2007-03-05,0
"795","Austria",2007-03-06,0
"796","Austria",2007-03-07,0
"797","Austria",2007-03-08,0
"798","Austria",2007-03-09,0
"799","Austria",2007-03-10,0
"800","Austria",2007-03-11,0
"801","Austria",2007-03-12,0
"802","Austria",2007-03-13,0
"803","Austria",2007-03-14,0
"804","Austria",2007-03-15,0
"805","Austria",2007-03-16,0
"806","Austria",2007-03-17,0
"807","Austria",2007-03-18,0
"808","Austria",2007-03-19,0
"809","Austria",2007-03-20,0
"810","Austria",2007-03-21,0
"811","Austria",2007-03-22,0
"812","Austria",2007-03-23,0
"813","Austria",2007-03-24,0
"814","Austria",2007-03-25,0
"815","Austria",2007-03-26,0
"816","Austria",2007-03-27,0
"817","Austria",2007-03-28,0
"818","Austria",2007-03-29,0
"819","Austria",2007-03-30,0
"820","Austria",2007-03-31,0
"821","Austria",2007-04-01,0
"822","Austria",2007-04-02,0
"823","Austria",2007-04-03,0
"824","Austria",2007-04-04,0
"825","Austria",2007-04-05,0
"826","Austria",2007-04-06,0
"827","Austria",2007-04-07,0
"828","Austria",2007-04-08,0
"829","Austria",2007-04-09,0
"830","Austria",2007-04-10,0
"831","Austria",2007-04-11,0
"832","Austria",2007-04-12,0
"833","Austria",2007-04-13,0
"834","Austria",2007-04-14,0
"835","Austria",2007-04-15,0
"836","Austria",2007-04-16,0
"837","Austria",2007-04-17,0
"838","Austria",2007-04-18,0
"839","Austria",2007-04-19,0
"840","Austria",2007-04-20,0
"841","Austria",2007-04-21,0
"842","Austria",2007-04-22,0
"843","Austria",2007-04-23,0
"844","Austria",2007-04-24,0
"845","Austria",2007-04-25,0
"846","Austria",2007-04-26,0
"847","Austria",2007-04-27,0
"848","Austria",2007-04-28,0
"849","Austria",2007-04-29,0
"850","Austria",2007-04-30,0
"851","Austria",2007-05-01,0
"852","Austria",2007-05-02,0
"853","Austria",2007-05-03,0
"854","Austria",2007-05-04,0
"855","Austria",2007-05-05,0
"856","Austria",2007-05-06,0
"857","Austria",2007-05-07,0
"858","Austria",2007-05-08,0
"859","Austria",2007-05-09,0
"860","Austria",2007-05-10,0
"861","Austria",2007-05-11,0
"862","Austria",2007-05-12,0
"863","Austria",2007-05-13,0
"864","Austria",2007-05-14,0
"865","Austria",2007-05-15,0
"866","Austria",2007-05-16,0
"867","Austria",2007-05-17,0
"868","Austria",2007-05-18,0
"869","Austria",2007-05-19,0
"870","Austria",2007-05-20,0
"871","Austria",2007-05-21,0
